Unnamed: 0,epsilon_value,result,time,verifier,obtained_labels,network_name,image_name,mps_path
0,0.181,TIMEOUT,3600.0701916217804,Symphony,,mnist-net_256x2,image_7,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_7/mnist-net_256x2_7_0_181.mps
1,0.201,TIMEOUT,3600.0588319301605,Symphony,,mnist-net_256x2,image_7,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_7/mnist-net_256x2_7_0_201.mps
2,0.161,TIMEOUT,3600.069322347641,Symphony,,mnist-net_256x2,image_7,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_7/mnist-net_256x2_7_0_161.mps
3,0.221,TIMEOUT,3600.066092967987,Symphony,,mnist-net_256x2,image_7,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_7/mnist-net_256x2_7_0_221.mps
4,0.141,TIMEOUT,3600.0575025081635,Symphony,,mnist-net_256x2,image_7,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_7/mnist-net_256x2_7_0_141.mps
5,0.241,TIMEOUT,3600.0749316215515,Symphony,,mnist-net_256x2,image_7,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_7/mnist-net_256x2_7_0_241.mps
6,0.121,TIMEOUT,3600.064893484116,Symphony,,mnist-net_256x2,image_7,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_7/mnist-net_256x2_7_0_121.mps
7,0.261,TIMEOUT,3600.0657806396484,Symphony,,mnist-net_256x2,image_7,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_7/mnist-net_256x2_7_0_261.mps
8,0.101,TIMEOUT,3600.052487134933,Symphony,,mnist-net_256x2,image_7,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_7/mnist-net_256x2_7_0_101.mps
9,0.281,TIMEOUT,3600.08083486557,Symphony,,mnist-net_256x2,image_7,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_7/mnist-net_256x2_7_0_281.mps
10,0.081,TIMEOUT,3600.037860393524,Symphony,,mnist-net_256x2,image_7,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_7/mnist-net_256x2_7_0_081.mps
11,0.301,TIMEOUT,3600.0620486736298,Symphony,,mnist-net_256x2,image_7,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_7/mnist-net_256x2_7_0_301.mps
12,0.061,TIMEOUT,3600.043636083603,Symphony,,mnist-net_256x2,image_7,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_7/mnist-net_256x2_7_0_061.mps
13,0.321,TIMEOUT,3600.0675809383392,Symphony,,mnist-net_256x2,image_7,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_7/mnist-net_256x2_7_0_321.mps
14,0.041,TIMEOUT,3600.0375146865845,Symphony,,mnist-net_256x2,image_7,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_7/mnist-net_256x2_7_0_041.mps
15,0.341,TIMEOUT,3600.048164844513,Symphony,,mnist-net_256x2,image_7,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_7/mnist-net_256x2_7_0_341.mps
16,0.021,UNSAT,,Symphony,,mnist-net_256x2,image_7,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_7/mnist-net_256x2_7_0_021.mps
