,second_mps,inst2_time_baseline,inst2_time_warmstart,warmstart_type,configuration,inst2_epsilon_value,inst2_result_warmstart,inst2_network_name,inst2_image_name,inst2_mps_path,inst1_epsilon_value,inst1_network_name,inst1_image_name,inst1_mps_path,inst2_result_baseline
0,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_025.mps,4.154,0.331,UNSAT-UNSAT,,0.025,UNSAT,mnist-net_256x2,image_6,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_025.mps,0.023,mnist-net_256x2,image_6,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_023.mps,UNSAT
1,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_027.mps,36.153,0.353,UNSAT-UNSAT,,0.027,UNSAT,mnist-net_256x2,image_6,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_027.mps,0.023,mnist-net_256x2,image_6,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_023.mps,UNSAT
2,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_029.mps,228.459,0.354,UNSAT-UNSAT,,0.029,UNSAT,mnist-net_256x2,image_6,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_029.mps,0.023,mnist-net_256x2,image_6,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_023.mps,UNSAT
3,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_033.mps,3547.326,0.345,UNSAT-UNSAT,,0.033,UNSAT,mnist-net_256x2,image_6,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_033.mps,0.023,mnist-net_256x2,image_6,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_023.mps,UNSAT
4,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_031.mps,1185.193,0.349,UNSAT-UNSAT,,0.031,UNSAT,mnist-net_256x2,image_6,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_031.mps,0.023,mnist-net_256x2,image_6,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_023.mps,UNSAT
5,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_035.mps,2558.758,0.335,UNSAT-UNSAT,,0.035,UNSAT,mnist-net_256x2,image_6,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_035.mps,0.023,mnist-net_256x2,image_6,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_023.mps,UNSAT
6,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_027.mps,36.153,3.14,UNSAT-UNSAT,,0.027,UNSAT,mnist-net_256x2,image_6,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_027.mps,0.025,mnist-net_256x2,image_6,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_025.mps,UNSAT
7,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_029.mps,228.459,3.183,UNSAT-UNSAT,,0.029,UNSAT,mnist-net_256x2,image_6,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_029.mps,0.025,mnist-net_256x2,image_6,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_025.mps,UNSAT
8,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_7/mnist-net_256x2_7_0_029.mps,241.61,17.002,UNSAT-UNSAT,,0.029,UNSAT,mnist-net_256x2,image_7,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_7/mnist-net_256x2_7_0_029.mps,0.025,mnist-net_256x2,image_7,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_7/mnist-net_256x2_7_0_025.mps,UNSAT
9,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_7/mnist-net_256x2_7_0_027.mps,169.99,16.961,UNSAT-UNSAT,,0.027,UNSAT,mnist-net_256x2,image_7,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_7/mnist-net_256x2_7_0_027.mps,0.025,mnist-net_256x2,image_7,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_7/mnist-net_256x2_7_0_025.mps,UNSAT
