network,warmstart_type,results,time_baseline,time_warmstart,n_better,n_worse,n_timedout_before_solved_now,abs_reduction_avg_time,pct_reduction_time,n_err_warmstart
mnist-net,IMAGE,79,1333.225 ± 1490.569,218.094 ± 437.786,36,12,12,1115.131,83.6%,0
mnist-net,NETWORK,116,820.829 ± 1140.161,406.932 ± 647.834,46,40,5,413.897,50.4%,2
mnist-net,UNSAT-TIMEOUT,30,3600.052 ± 0.009,877.404 ± 255.079,30,0,30,2722.648,75.6%,0
mnist-net,UNSAT-UNSAT,968,537.550 ± 858.608,104.971 ± 562.117,786,9,0,432.579,80.5%,24
mnist-net_256x2,IMAGE,113,1635.070 ± 1619.156,294.871 ± 434.758,88,16,28,1340.199,82.0%,0
mnist-net_256x2,SAT-SAT,120,141.731 ± 206.469,730.677 ± 365.050,4,116,0,-588.946,-415.5%,0
mnist-net_256x2,SAT-TIMEOUT,21,3600.060 ± 0.011,511.911 ± 387.979,21,0,21,3088.149,85.8%,0
mnist-net_256x2,UNSAT-TIMEOUT,71,3600.059 ± 0.011,827.185 ± 440.671,71,0,71,2772.874,77.0%,0
mnist-net_256x2,UNSAT-UNSAT,648,730.312 ± 912.317,272.962 ± 825.032,564,12,0,457.350,62.6%,35
mnist-net_256x4,IMAGE,39,1803.512 ± 1632.248,65.472 ± 142.461,26,2,12,1738.040,96.4%,0
mnist-net_256x4,NETWORK,17,2133.168 ± 1736.800,342.606 ± 441.464,9,3,7,1790.563,83.9%,0
mnist-net_256x4,UNSAT-TIMEOUT,140,3600.069 ± 0.016,340.879 ± 376.691,140,0,140,3259.190,90.5%,0
mnist-net_256x4,UNSAT-UNSAT,164,503.283 ± 664.205,195.724 ± 775.717,94,2,0,307.559,61.1%,8
